date,period,actual,prediction,response,lower_80,upper_80,lower_95,upper_95,actual_log,counterfactual_log,war_premium_usd_bbl,war_stage,model,horizon,specification,sample_start,sample_end
2026-05-08,2026-05,103.48,71.43507476560823,32.04492523439177,60.74047385223968,84.01267858367024,55.743344756089584,91.54402070949597,4.639378357317828,4.268788991940893,32.04492523439177,E2_disruption,AR3_plus_USD_counterfactual,47,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-11,2026-05,106.11,71.44610226999323,34.66389773000677,60.645679433884986,84.16997842590305,55.60580744995341,91.79878440158518,4.6644762918854985,4.2689433510333314,34.66389773000677,E2_disruption,AR3_plus_USD_counterfactual,48,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-12,2026-05,111.37,71.54982804997414,39.820171950025866,60.6306601514301,84.43546352942217,55.54207603481033,92.17116570818054,4.712857991405009,4.2703941027846755,39.820171950025866,E2_disruption,AR3_plus_USD_counterfactual,49,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-13,2026-05,110.28,71.5453100545107,38.73468994548931,60.52499178954248,84.5721947157783,55.39595345234462,92.40262278723212,4.703022586155596,4.270330956048528,38.73468994548931,E2_disruption,AR3_plus_USD_counterfactual,50,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-14,2026-05,110.91,71.59564476317692,39.314355236823076,60.46684456770396,84.77267808006052,55.293991966488385,92.70331489471154,4.70871906161665,4.271034244786612,39.314355236823076,E2_disruption,AR3_plus_USD_counterfactual,51,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-15,2026-05,113.96,71.72368796177436,42.236312038225634,60.47522581524527,85.06437711458942,55.253425587739365,93.1035019117346,4.735847509629708,4.272821069079334,42.236312038225634,E2_disruption,AR3_plus_USD_counterfactual,52,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-18,2026-05,116.73,71.68587994366877,45.04412005633124,60.34475691808836,85.15844036414894,55.08659754732804,93.28703554222965,4.759863575664572,4.2722937957664895,45.04412005633124,E2_disruption,AR3_plus_USD_counterfactual,53,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-19,2026-05,114.64,71.77642604753277,42.863573952467235,60.323348960600754,85.40400068838674,55.01993484648911,93.63615843114157,4.741796783519916,4.273556094113939,42.863573952467235,E2_disruption,AR3_plus_USD_counterfactual,54,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-20,2026-05,108.93,71.71100080482518,37.21899919517483,60.17187769160695,85.46297429483295,54.83525146671512,93.78032376766072,4.690705474094354,4.2726441640769055,37.21899919517483,E2_disruption,AR3_plus_USD_counterfactual,55,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-21,2026-05,105.84,71.76349786490456,34.07650213509544,60.1203974234607,85.6614368253741,54.74230747311997,94.07713820494247,4.6619285198067,4.273375960499391,34.07650213509544,E2_disruption,AR3_plus_USD_counterfactual,56,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-22,2026-05,106.9,71.74091903304672,35.15908096695328,60.006980380332685,85.76934601750128,54.59354001656434,94.27414785970237,4.671893818030999,4.273061282630483,35.15908096695328,E2_disruption,AR3_plus_USD_counterfactual,57,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-26,2026-05,102.75,71.74990602852384,31.00009397147616,59.92095632434516,85.91399955695319,54.47027967661703,94.51115444358463,4.632298853376344,4.273186544931888,31.00009397147616,E2_disruption,AR3_plus_USD_counterfactual,58,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-27,2026-05,97.11,71.75120387243498,25.358796127565014,59.82944428555072,86.04852207171623,54.34258616129659,94.73666273193228,4.575844356606263,4.273204633208865,25.358796127565014,E2_disruption,AR3_plus_USD_counterfactual,59,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-28,2026-05,95.47,71.7236136246806,23.746386375319403,59.71480032944098,86.14743284750136,54.194446241219495,94.9225817067176,4.558812062009942,4.27282003264166,23.746386375319403,E2_disruption,AR3_plus_USD_counterfactual,60,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-29,2026-05,92.88,71.69240564765893,21.187594352341065,59.59811828876776,86.24099510398734,54.04502686457234,95.10220136309573,4.531308337389636,4.272384823553128,21.187594352341065,E2_disruption,AR3_plus_USD_counterfactual,61,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-06-01,2026-06,98.29,71.7530978057032,26.5369021942968,59.55867313301708,86.44428718578475,53.96615145039878,95.40252373651091,4.587922292578538,4.2732310287000965,26.5369021942968,E2_disruption,AR3_plus_USD_counterfactual,62,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-06-02,2026-06,98.49,71.72945778073557,26.760542219264423,59.450037303343606,86.54519571224819,53.82506903909544,95.5895683065675,4.589955020181611,4.272901510939768,26.760542219264423,E2_disruption,AR3_plus_USD_counterfactual,63,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-06-03,2026-06,101.69,71.81105144254141,29.878948557458585,59.429384359376684,86.77234611920882,53.764107993541664,95.91579404428667,4.621928969803046,4.274038384022294,29.878948557458585,E2_disruption,AR3_plus_USD_counterfactual,64,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
